id,name,name_en,party,district,photo_url,term_number,is_active,email,phone,office_location,profile_url,created_at,updated_at,councillor_type
19ef13fc-83e2-4bf2-a934-c461ee2e4b5e,강영웅,,국민의힘,아선거구,https://council.yongin.go.kr/attach/member/CT/09/small/1c477517616dba36b925269872e23d50cc06fd6522ec7531908880f8939546c8.jpg,8,true,,031-6193-2562,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
c16549c0-c3d5-4796-b62a-a998cccbf645,강영웅,,국민의힘,아선거구,https://council.yongin.go.kr/attach/member/CT/09/small/1c477517616dba36b925269872e23d50cc06fd6522ec7531908880f8939546c8.jpg,8,true,,031-6193-2562,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
cf77e946-8048-416e-a147-8b645d8304d7,강웅철,,국민의힘,용인시 제8선거구,,11,true,,,,,2025-10-18T11:22:24.77394+00:00,2025-10-18T11:22:24.77394+00:00,경기도의원
d6b83d6e-7c95-4292-a261-aa32a5e71dca,기주옥,,국민의힘,용인시,https://council.yongin.go.kr/attach/member/CT/09/small/d7c309338a35032fcd77b694c21a348b414d41a7fcde1f3e30fa196c9167feca.jpg,8,true,,031-6193-2577,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
df57de29-e9ce-4484-9f8e-d360ce72ef87,기주옥,,국민의힘,용인시,https://council.yongin.go.kr/attach/member/CT/09/small/d7c309338a35032fcd77b694c21a348b414d41a7fcde1f3e30fa196c9167feca.jpg,8,true,,031-6193-2577,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
c28e5930-8b95-4a69-b162-eada46a024e1,김길수,,국민의힘,마선거구,https://council.yongin.go.kr/attach/member/CT/09/small/1412b9df744e1ea9d44b90b513174000741cd58097192ec40ea9ad4104ebf0a5.jpeg,8,true,,031-6193-2972,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
32bc2f4f-9c46-449a-8d2e-d6c2a3ff0b95,김길수,,국민의힘,마선거구,https://council.yongin.go.kr/attach/member/CT/09/small/1412b9df744e1ea9d44b90b513174000741cd58097192ec40ea9ad4104ebf0a5.jpeg,8,true,,031-6193-2972,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
cc38289e-2949-475f-a6fa-2d4e64e07193,김병민,,더불어민주당,차선거구,https://council.yongin.go.kr/attach/member/CT/09/small/6dbacb86e7d8a3b4d2b5d99ab8f32b3cefe24b437a48b40cadcd27c48a0333ac.jpg,8,true,,031-6193-2971,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
43399eba-620a-4785-ae6e-ecac9d95f675,김병민,,더불어민주당,차선거구,https://council.yongin.go.kr/attach/member/CT/09/small/6dbacb86e7d8a3b4d2b5d99ab8f32b3cefe24b437a48b40cadcd27c48a0333ac.jpg,8,true,,031-6193-2971,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
a37f7314-db30-433d-9a5c-7684bd9ee09f,김상수,,국민의힘,가선거구,https://council.yongin.go.kr/attach/member/CT/09/small/ec787171cdf46059809616cbd771f26d3e1496b1335d06d1b16080f1f77b25ca.jpg,8,true,,031-6193-2513,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
b37824a3-7d46-416e-88a3-bcd490d72214,김상수,,국민의힘,가선거구,https://council.yongin.go.kr/attach/member/CT/09/small/ec787171cdf46059809616cbd771f26d3e1496b1335d06d1b16080f1f77b25ca.jpg,8,true,,031-6193-2513,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
8730d511-d0f2-4af3-946c-aa6c14da50b9,김선희,,국민의힘,용인시 제7선거구,,11,true,,,,,2025-10-18T11:22:24.77394+00:00,2025-10-18T11:22:24.77394+00:00,경기도의원
7b964dad-49b0-46ee-aa03-d4eb6ffa60a9,김영민,,국민의힘,용인시 제2선거구,,11,true,,,,,2025-10-18T11:22:24.77394+00:00,2025-10-18T11:22:24.77394+00:00,경기도의원
4a70c4b2-6479-4a83-9b59-985a516b61c2,김영식,,국민의힘,다선거구,https://council.yongin.go.kr/attach/member/CT/09/small/29e3bc13cfaaf59cb01e277f7d9239d3d0787ddf829927fb550ccc9e1878b68a.jpg,8,true,,031-6193-2558,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
d9e298b7-25fa-4f18-a592-d71a134c86c1,김영식,,국민의힘,다선거구,https://council.yongin.go.kr/attach/member/CT/09/small/29e3bc13cfaaf59cb01e277f7d9239d3d0787ddf829927fb550ccc9e1878b68a.jpg,8,true,,031-6193-2558,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
88b976e0-52c0-421b-9304-865a8d29aa5f,김운봉,,국민의힘,바선거구,https://council.yongin.go.kr/attach/member/CT/09/small/5c027fbaf75212e0c38541dee417438cb9bd0c58b513ec9ace1cbb521e61c554.jpg,8,true,,-,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
af55f28c-edb0-4fc5-b09e-9c59caeab334,김윤선,,국민의힘,용인시,https://council.yongin.go.kr/attach/member/CT/09/e342c2451d4c0d3341f227412659d9188c01486220fd2cbd19955a143421d012.jpg,8,true,,031-6193-2515,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
38136c0f-150f-451c-9834-fcc90f2bc492,김윤선,,국민의힘,용인시,https://council.yongin.go.kr/attach/member/CT/09/e342c2451d4c0d3341f227412659d9188c01486220fd2cbd19955a143421d012.jpg,8,true,,031-6193-2515,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
2d4e6f1f-318c-45fc-aa21-b496163f2bfc,김진석,,더불어민주당,다선거구,https://council.yongin.go.kr/attach/member/CT/09/small/1f08fb5fb022384f44fab215b47e4d44891fcd2ff732129a040edd2d436e51d9.jpg,8,true,,031-6193-2512,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
8950bf83-14c3-4c19-b722-fad0d3fa580d,김진석,,더불어민주당,다선거구,https://council.yongin.go.kr/attach/member/CT/09/small/1f08fb5fb022384f44fab215b47e4d44891fcd2ff732129a040edd2d436e51d9.jpg,8,true,,031-6193-2512,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
a3f8221e-7dfb-4f22-9307-358d1694e859,김태우,,국민의힘,차선거구,https://council.yongin.go.kr/attach/member/CT/09/small/2c1da93d5ed6693777c89e70fa25a59986ce7dfe8f60e678667cfea066e9159b.jpg,8,true,,031-6193-2554,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
37829846-0927-4388-8043-90243aeeaec4,김태우,,국민의힘,차선거구,https://council.yongin.go.kr/attach/member/CT/09/small/2c1da93d5ed6693777c89e70fa25a59986ce7dfe8f60e678667cfea066e9159b.jpg,8,true,,031-6193-2554,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
9178c624-e6b3-43f5-82d0-7a7e30dd9ce0,김희영,,국민의힘,사선거구,https://council.yongin.go.kr/attach/member/CT/09/small/deb5c3a3e60d2ed69e62092565b5939bf7df009623a73b2f7e14952a16b13be0.jpg,8,true,,031-6193-2561,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
6a48a5c0-dce4-4ee3-a1e1-fbf1305ae60e,김희영,,국민의힘,사선거구,https://council.yongin.go.kr/attach/member/CT/09/small/deb5c3a3e60d2ed69e62092565b5939bf7df009623a73b2f7e14952a16b13be0.jpg,8,true,,031-6193-2561,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
64bfb062-19dd-4f61-9049-17481c0c6a5d,남종섭,,더불어민주당,용인시 제3선거구,,11,true,,,,,2025-10-18T11:22:24.77394+00:00,2025-10-18T11:22:24.77394+00:00,경기도의원
8a33751a-5593-4ab9-adf8-a61f2183bd01,남홍숙,,더불어민주당,나선거구,https://council.yongin.go.kr/attach/member/CT/09/small/90773bcabab6c79da98d178bbfa46626f8e6c6be0a8690f07714f292c7695022.jpg,8,true,,031-6193-2973,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
6b30f67e-7929-4c80-9421-5df9ae21096d,남홍숙,,더불어민주당,나선거구,https://council.yongin.go.kr/attach/member/CT/09/small/90773bcabab6c79da98d178bbfa46626f8e6c6be0a8690f07714f292c7695022.jpg,8,true,,031-6193-2973,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
fe655e25-a536-434e-a923-edd448221b30,박병민,,더불어민주당,용인시,https://council.yongin.go.kr/attach/member/CT/09/small/c1a371cfbc9777e81668e78ddf2394bf9f65dc3407afd58c0e075479b5362b6c.jpg,8,true,,031-6193-2578,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
ab319a3f-59d2-42d7-97a2-bed49a223a8c,박병민,,더불어민주당,용인시,https://council.yongin.go.kr/attach/member/CT/09/small/c1a371cfbc9777e81668e78ddf2394bf9f65dc3407afd58c0e075479b5362b6c.jpg,8,true,,031-6193-2578,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
1aba5f3f-b974-4cf7-9331-5b40756352d3,박은선,,국민의힘,카선거구,https://council.yongin.go.kr/attach/member/CT/09/small/891e292678a56ef17e01c904a43a1c957b7ffb46dd800cb18eb3d2e3d870486c.jpg,8,true,,031-6193-2574,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
e2a55193-0254-4388-917f-06a1b151cfd7,박은선,,국민의힘,카선거구,https://council.yongin.go.kr/attach/member/CT/09/small/891e292678a56ef17e01c904a43a1c957b7ffb46dd800cb18eb3d2e3d870486c.jpg,8,true,,031-6193-2574,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
eb0611a5-0a03-40da-9d28-94a530e10157,박인철,,더불어민주당,가선거구,https://council.yongin.go.kr/attach/member/CT/09/small/4b552803a92321519534a52930b47ea3764aeb07ba8dd66fb0079226f7a1a67b.jpg,8,true,,031-6193-2575,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
751c269f-27db-4aeb-a4e4-ee1e679a5909,박인철,,더불어민주당,가선거구,https://council.yongin.go.kr/attach/member/CT/09/small/4b552803a92321519534a52930b47ea3764aeb07ba8dd66fb0079226f7a1a67b.jpg,8,true,,031-6193-2575,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
0b144f31-0e17-49f1-bf00-55f4f503e08f,박희정,,더불어민주당,바선거구,https://council.yongin.go.kr/attach/member/CT/09/78ccc600c6f97815728a0865f9d9b232626d43a647a20104e7ac9ec5674b6995.jpg,8,true,,031-6193-2565,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
f48bdbc5-1204-4960-9145-1b921528d7fe,박희정,,더불어민주당,바선거구,https://council.yongin.go.kr/attach/member/CT/09/78ccc600c6f97815728a0865f9d9b232626d43a647a20104e7ac9ec5674b6995.jpg,8,true,,031-6193-2565,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
174f7975-63ec-4829-8853-d854a1ebfd6c,부승찬,,더불어민주당,용인시 병,,22,true,,,,,2025-10-18T11:22:24.77394+00:00,2025-10-18T11:22:24.77394+00:00,국회의원
af70d1a6-7eb7-401d-b265-f07882dcd5f7,손명수,,더불어민주당,용인시 을,,22,true,,,,,2025-10-18T11:22:24.77394+00:00,2025-10-18T11:22:24.77394+00:00,국회의원
560fcee2-6cce-431f-a941-17d4e10299f1,신나연,,더불어민주당,마선거구,https://council.yongin.go.kr/attach/member/CT/09/small/371c7e8fb1a767deab804160a0eedb4893ca3f8fd80ed5f72eaa69a6bc338385.jpg,8,true,,031-6193-2572,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
11f37af7-6003-4e0d-88c0-74b125d45252,신나연,,더불어민주당,마선거구,https://council.yongin.go.kr/attach/member/CT/09/small/371c7e8fb1a767deab804160a0eedb4893ca3f8fd80ed5f72eaa69a6bc338385.jpg,8,true,,031-6193-2572,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
0115bf74-a9b7-4532-a4ef-47b6cf5c1969,신민석,,국민의힘,자선거구,https://council.yongin.go.kr/attach/member/CT/09/small/74a178bf0bb8b23cac986ebd87f8dd22d042eb501d0c2e59e075fab28a128389.jpg,8,true,,031-6193-2566,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
1aebe60f-9953-4c25-b0ce-8bcbe19561d4,신민석,,국민의힘,자선거구,https://council.yongin.go.kr/attach/member/CT/09/small/74a178bf0bb8b23cac986ebd87f8dd22d042eb501d0c2e59e075fab28a128389.jpg,8,true,,031-6193-2566,,,2025-10-20T02:30:27.351462+00:00,2025-10-20T02:30:27.351462+00:00,용인시의원
d0f58464-cb62-4c4d-abb9-59bc0f5fbea5,신현녀,,더불어민주당,차선거구,https://council.yongin.go.kr/attach/member/CT/09/small/8d927fc56bb939983a99f32173a2f52ee4536be788aa84e9116e940a9b62589a.jpg,8,true,,031-6193-2514,,,2025-11-03T17:14:05.829778+00:00,2025-11-03T17:14:05.829778+00:00,용인시의원
